solID,channels,date_min,date_max,periods,constr_low,constr_up,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
5_740_8,FB_28_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3973402,136672754,1007834.01491036,21023.291005291,0.0208598744379161,1.59807731962754,38.2070516077363,7.60146125183417e-05,1530000,1530000,0.51810712613831,25227.9492063492,0.2,1209400.81789243,0.2,0.0208598744379161,2.25501091054167,48.6219884094755,8.93854229726348e-05,0.411077475942932,0.272592004969845
5_740_8,FB_30_broad_S,2020-05-06,2022-03-31,695 days,0.7,1.2,3712528,136672754,1007834.01491036,8735.36,0.00866745899698271,0.033346334787558,38.2070516077363,3.8173967400952e-06,1530000,1530000,0.51810712613831,10482.432,0.2,1209400.81789243,0.2,0.00866745899698271,0.0434018220134528,48.6219884094755,4.14043439666032e-06,0.301547000291219,0.272592004969845
5_740_8,FB_30_retarg_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1076176,136672754,1007834.01491036,2809.8590078329,0.00278801763610134,0.32175075868177,38.2070516077363,0.000114507794798544,1530000,1530000,0.51810712613831,3371.83080939948,0.2,1209400.81789243,0.2,0.00278801763610134,0.526531026502527,48.6219884094755,0.000156155826394001,0.636456208090242,0.272592004969845
5_740_8,FB_30_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,9915433,136672754,1007834.01491036,25359.1636828645,0.0251620438561205,0.675915625769875,38.2070516077363,2.66537033406429e-05,1530000,1530000,0.51810712613831,30430.9964194373,0.2,1209400.81789243,0.2,0.0251620438561205,1.08929934353285,48.6219884094755,3.57957172521986e-05,0.611590710441299,0.272592004969845
5_740_8,FB_40_retarg_S,2020-05-06,2022-03-31,695 days,0.7,1.2,892444,136672754,1007834.01491036,2479.01111111111,0.0024597414598391,0.000786880684012895,38.2070516077363,3.17417167065544e-07,1530000,1530000,0.51810712613831,2974.81333333333,0.2,1209400.81789243,0.2,0.0024597414598391,0.00132912890017637,48.6219884094755,4.4679405100254e-07,0.689111103093985,0.272592004969845
5_740_8,FB_40_similar_S,2020-05-06,2022-03-31,695 days,0.7,1.2,6054607,136672754,1007834.01491036,10385.2607204117,0.0103045348408243,0.74542162192149,38.2070516077363,7.17768809074195e-05,1530000,1530000,0.51810712613831,12462.312864494,0.2,1209400.81789243,0.2,0.0103045348408243,0.906940018280339,48.6219884094755,7.27746148039884e-05,0.216680589358946,0.272592004969845
5_740_8,FB_50_S,2020-05-06,2022-03-31,695 days,0.7,1.2,92379,136672754,1007834.01491036,3421.44444444444,0.00339484914561924,0.10241013463274,38.2070516077363,2.99318420321067e-05,1530000,1530000,0.51810712613831,4105.73333333333,0.2,1209400.81789243,0.2,0.00339484914561924,0.169576322169786,48.6219884094755,4.13023224847659e-05,0.655854889537207,0.272592004969845
5_740_8,FB_female_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,49052834,136672754,1007834.01491036,75004.3333333333,0.0744213156369847,2.93095104682561,38.2070516077363,3.90770895036146e-05,1530000,1530000,0.51810712613831,90005.2,0.2,1209400.81789243,0.2,0.0744213156369847,3.1888969156584,48.6219884094755,3.54301408769538e-05,0.0880075663877633,0.272592004969845
5_740_8,FB_male_other_S,2020-05-06,2022-03-31,695 days,0.7,1.2,27575823,136672754,1007834.01491036,40792.6375739645,0.0404755515000084,4.98618685884911,38.2070516077363,0.000122232519282634,1530000,1530000,0.51810712613831,48951.1650887574,0.2,1209400.81789243,0.2,0.0404755515000084,5.28467924721826,48.6219884094755,0.000107958191345112,0.0598638592613923,0.272592004969845
5_740_8,FB_u25_S,2020-05-06,2022-03-31,695 days,0.7,1.2,366344,136672754,1007834.01491036,8935.21951219512,0.00886576497717221,0.13334750817684,38.2070516077363,1.49238088661215e-05,1530000,1530000,0.51810712613831,10722.2634146341,0.2,1209400.81789243,0.2,0.00886576497717221,0.162604723838514,48.6219884094755,1.51651491434715e-05,0.2194057921418,0.272592004969845
5_740_8,FB_undefined_S,2020-05-06,2022-03-31,695 days,0.7,1.2,30309208,136672754,1007834.01491036,45170.2056631893,0.0448190922264187,4.71884160941733,38.2070516077363,0.00010446801249043,1530000,1530000,0.51810712613831,54204.2467958271,0.2,1209400.81789243,0.2,0.0448190922264187,5.31170942765374,48.6219884094755,9.79943406955091e-05,0.125638423008992,0.272592004969845
5_740_8,Google_Proslisting_S,2020-05-06,2022-03-31,695 days,0.7,1.2,1391576,136672754,1007834.01491036,10384.8955223881,0.0103041724815289,2.46487002545618,38.2070516077363,0.000237351451455852,1530000,1530000,0.51810712613831,12461.8746268657,0.2,1209400.81789243,0.2,0.0103041724815289,2.76472076896055,48.6219884094755,0.000221854323827034,0.121649718000394,0.272592004969845
5_740_8,Influencer_big_fix_S,2020-05-06,2022-03-31,695 days,0.7,1.2,2260000,136672754,1007834.01491036,753333.333333333,0.747477582804484,19.4951458829062,38.2070516077363,2.58785122339463e-05,1530000,1530000,0.51810712613831,904000,0.2,1209400.81789243,0.2,0.747477582804484,26.9172887542052,48.6219884094755,2.97757618962447e-05,0.380717483002108,0.272592004969845
